City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
69,Souillac,MU,77.0,scattered clouds,-20.52,57.52,Bils' Villa
70,Carnarvon,AU,73.4,broken clouds,-24.87,113.63,Hospitality Carnarvon
73,Salalah,OM,82.4,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
74,Hilo,US,78.8,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
78,Coahuayana,MX,78.48,broken clouds,18.73,-103.68,Hotel Los Arcos
79,Soyo,AO,76.69,overcast clouds,-6.13,12.37,Hotel Mpampa
81,Novo Aripuana,BR,76.64,overcast clouds,-5.12,-60.38,Hotel Ypê
86,Eyl,SO,83.41,clear sky,7.98,49.82,Amiin Hotel
92,Sao Filipe,CV,81.32,few clouds,14.9,-24.5,Tortuga B&B
96,San Andres,CO,78.8,broken clouds,12.58,-81.7,Hotel Arena Blanca
100,Caravelas,BR,71.62,light rain,-17.71,-39.25,Pousada dos Navegantes
101,Praya,CV,80.6,broken clouds,14.92,-23.51,LT Aparthotel
103,Sao Jose Da Coroa Grande,BR,74.68,few clouds,-8.9,-35.15,Crôa Mares Hotel
104,Harper,LR,76.55,overcast clouds,4.38,-7.72,Screensaver
105,Cabo San Lucas,MX,82.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
107,Bambous Virieux,MU,79.0,scattered clouds,-20.34,57.76,Casa Tia Villa
112,Poso,ID,87.44,light rain,-1.4,120.75,Hotel 77 Poso
113,Hithadhoo,MV,82.8,overcast clouds,-0.6,73.08,Scoop Guest House
115,Arraial Do Cabo,BR,72.14,overcast clouds,-22.97,-42.03,Pousada Porto Praia
116,Avarua,CK,78.8,broken clouds,-21.21,-159.78,Paradise Inn
122,Omboue,GA,76.8,overcast clouds,-1.57,9.26,Hotel Olako
125,Oranjestad,AW,77.0,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
127,Taree,AU,72.0,broken clouds,-31.9,152.47,All Seasons Country Lodge Taree
128,Axim,GH,77.13,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
129,Bandarbeyla,SO,82.74,clear sky,9.49,50.81,REER XOOSHLE GROUP
138,Pontes E Lacerda,BR,73.54,moderate rain,-15.23,-59.34,Hotel Bressan
144,Richards Bay,ZA,72.93,scattered clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
145,Sinnamary,GF,78.82,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
147,Quatre Cocos,MU,79.0,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
156,Airai,TL,81.41,clear sky,-8.93,125.41,Juvinal Martin
157,Pflugerville,US,78.01,overcast clouds,30.44,-97.62,Comfort Suites Pflugerville - Austin North
158,Jiwani,PK,81.54,clear sky,25.05,61.74,Al Mumtaz Transport Jiwani
159,Safaga,EG,73.4,clear sky,26.73,33.94,Lamar Resort Abu Soma
161,Padang,ID,88.68,broken clouds,-0.95,100.35,Mercure Padang
166,Bosaso,SO,84.2,clear sky,11.28,49.18,Red Sea Hotel
170,Teahupoo,PF,82.4,few clouds,-17.83,-149.27,Vanira Lodge
171,Faanui,PF,79.52,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
172,Zhuhai,CN,78.8,few clouds,22.28,113.57,珠海粤财假日酒店
173,Koumac,NC,75.88,few clouds,-20.57,164.28,Le Monitel
174,Ewa Beach,US,82.0,heavy intensity rain,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
175,Tashigang,BT,81.12,clear sky,27.33,91.55,Lingkhar Lodge
181,Bilma,NE,75.54,clear sky,18.69,12.92,Expeditions Ténére voyages
185,Gouyave,GD,84.2,few clouds,12.16,-61.73,Rumboat Retreat
190,Saint-Philippe,RE,78.8,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
197,Port Moresby,PG,81.91,light rain,-9.44,147.18,Lamana Hotel
200,Salvador,SV,75.2,light rain,13.83,-88.92,Chico's Ranch
203,Puerto Escondido,MX,79.68,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
205,Lethem,GY,78.93,overcast clouds,3.38,-59.8,Savannah Inn
209,Domoni,KM,79.7,few clouds,-12.26,44.53,Loulou
210,Porbandar,IN,86.32,few clouds,21.64,69.61,Lords Inn Porbandar
211,Alofi,NU,77.0,clear sky,-19.06,-169.92,Taloa Heights
213,Port-Gentil,GA,78.48,light rain,-0.72,8.78,Fengshui Residence
216,Dingle,PH,80.56,moderate rain,11.0,122.67,Camp Pasica
218,Karratha,AU,84.47,clear sky,-20.74,116.85,ibis Styles Karratha
222,Ilheus,BR,71.94,overcast clouds,-14.79,-39.05,Pontal Praia Hotel
227,Tura,IN,87.04,clear sky,25.52,90.22,Hotel RIKMAN Continental
229,Fort Wellington,GY,80.08,broken clouds,6.4,-57.6,TE'AMO Entertainment Park
230,Santa Isabel Do Rio Negro,BR,73.18,light rain,-0.41,-65.02,Hotel GSA
232,Sumter,US,73.99,overcast clouds,28.71,-82.08,Paradise Oaks RV Resort
233,Grand Gaube,MU,79.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
242,Victoria,HK,80.01,clear sky,22.29,114.16,Mini Hotel Central
245,Lazaro Cardenas,MX,79.12,scattered clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
248,Kotli Loharan,PK,71.6,smoke,32.59,74.49,Khan House The Hund Family
250,Mazatlan,MX,87.01,broken clouds,23.22,-106.42,Gaviana Resort
256,Shingu,JP,73.4,scattered clouds,33.73,135.98,Shingu UI Hotel
259,Hambantota,LK,89.6,scattered clouds,6.12,81.12,Bungalow 63
260,Puerto Madero,MX,81.28,light rain,14.72,-92.42,Hotel La Central
262,Jandaia Do Sul,BR,71.6,clear sky,-23.6,-51.64,hotel jandaia do sul
